ativo|target|data|target_real|resultado_real|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.01|2021-10-04|1|0.01|0|0|0.0
VALE3|1.01|2021-10-05|1|0.01|0|1|1.0
VALE3|1.01|2021-10-06|1|0.01|0|0|0.0
VALE3|1.01|2021-10-07|1|0.01|1|1|1.0
VALE3|1.01|2021-10-08|1|0.01|1|1|1.0
VALE3|1.01|2021-10-11|0|-0.0108910905814617|1|1|1.0
VALE3|1.01|2021-10-13|1|0.01|1|1|1.0
VALE3|1.01|2021-10-14|1|0.01|0|1|0.0
VALE3|1.01|2021-10-15|0|-0.0594418803675291|0|0|0.0
VALE3|1.01|2021-10-18|0|-0.045659820873525|1|1|1.0
VALE3|1.01|2021-10-19|0|-0.0174811852375565|0|0|0.0
VALE3|1.01|2021-10-20|1|0.01|0|0|0.0
VALE3|1.01|2021-10-21|1|0.01|0|0|0.0
VALE3|1.01|2021-10-22|0|-0.0453367789102707|0|1|1.0
VALE3|1.01|2021-10-25|0|-0.0701207621028391|0|1|0.0
VALE3|1.01|2021-10-26|0|-0.0481705814333623|0|1|0.0
VALE3|1.01|2021-10-27|0|-0.1023505622293556|0|0|0.0
VALE3|1.01|2021-10-28|0|-0.0951794077477626|0|0|0.0
VALE3|1.01|2021-10-29|1|0.01|0|0|0.0
VALE3|1.01|2021-11-01|0|-0.0424929227773444|0|0|0.0
VALE3|1.01|2021-11-03|1|0.01|0|0|0.0
VALE3|1.01|2021-11-04|1|0.01|1|1|1.0
VALE3|1.01|2021-11-05|1|0.01|0|1|1.0
VALE3|1.01|2021-11-08|1|0.01|0|1|1.0
VALE3|1.01|2021-11-09|1|0.01|0|1|1.0
VALE3|1.01|2021-11-10|1|0.01|1|1|1.0
VALE3|1.01|2021-11-11|1|0.01|0|1|1.0
VALE3|1.01|2021-11-12|0|-0.0583823504211448|1|1|1.0
VALE3|1.01|2021-11-16|1|0.01|1|1|1.0
VALE3|1.01|2021-11-17|1|0.01|1|1|1.0
VALE3|1.01|2021-11-18|1|0.01|1|1|1.0
VALE3|1.01|2021-11-19|1|0.01|1|1|1.0
VALE3|1.01|2021-11-22|1|0.01|1|1|1.0
VALE3|1.01|2021-11-23|1|0.01|1|1|1.0
VALE3|1.01|2021-11-24|0|-0.0187964749724667|1|1|1.0
VALE3|1.01|2021-11-25|1|0.01|1|1|1.0
VALE3|1.01|2021-11-26|1|0.01|0|0|0.0
VALE3|1.01|2021-11-29|1|0.01|1|1|1.0
VALE3|1.01|2021-11-30|1|0.01|0|1|1.0
VALE3|1.01|2021-12-01|1|0.01|1|1|1.0
VALE3|1.01|2021-12-02|1|0.01|1|1|1.0
VALE3|1.01|2021-12-03|1|0.01|1|1|1.0
VALE3|1.01|2021-12-06|1|0.01|1|1|1.0
VALE3|1.01|2021-12-07|1|0.01|1|1|1.0
VALE3|1.01|2021-12-08|1|0.01|1|1|1.0
VALE3|1.01|2021-12-09|1|0.01|1|1|1.0
VALE3|1.01|2021-12-10|1|0.01|0|1|1.0
VALE3|1.01|2021-12-13|1|0.01|1|1|1.0
VALE3|1.01|2021-12-14|1|0.01|1|1|1.0
VALE3|1.01|2021-12-15|1|0.01|1|1|1.0
VALE3|1.01|2021-12-16|0|0.0002503110044944|1|1|1.0
VALE3|1.01|2021-12-17|1|0.01|1|1|1.0
VALE3|1.01|2021-12-20|0|-0.0106516334724047|0|1|1.0
VALE3|1.01|2021-12-21|0|-0.0386781789213879|0|1|1.0
VALE3|1.01|2021-12-22|0|-0.0337711058962008|0|1|0.0
VALE3|1.01|2021-12-23|0|-0.0115379725678282|0|0|0.0
VALE3|1.01|2021-12-27|1|0.01|0|0|0.0
VALE3|1.01|2021-12-28|1|0.01|0|0|0.0
VALE3|1.01|2021-12-29|1|0.01|0|0|1.0
VALE3|1.01|2021-12-30|1|0.01|0|1|0.0
VALE3|1.01|2022-01-03|1|0.01|0|1|1.0
VALE3|1.01|2022-01-04|1|0.01|0|1|1.0
VALE3|1.01|2022-01-05|1|0.01|0|1|1.0
VALE3|1.01|2022-01-06|1|0.01|0|1|1.0
VALE3|1.01|2022-01-07|1|0.01|1|1|1.0
VALE3|1.01|2022-01-10|1|0.01|1|1|1.0
VALE3|1.01|2022-01-11|0|-0.0258989403102734|0|1|1.0
VALE3|1.01|2022-01-12|1|0.01|1|1|1.0
VALE3|1.01|2022-01-13|1|0.01|0|0|0.0
VALE3|1.01|2022-01-14|1|0.01|0|1|1.0
VALE3|1.01|2022-01-17|1|0.01|1|1|1.0
VALE3|1.01|2022-01-18|0|-0.052102159507591|1|1|1.0
VALE3|1.01|2022-01-19|0|-0.0533783719571464|1|1|1.0
