ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.015,2022-06-10,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-10,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-13,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-06-13,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-06-13,RandomForest_75,1.0,1.0
PETR4,1.02,2022-06-14,RandomForest_60,1.0,1.0
PETR4,1.015,2022-06-14,RandomForest_60,1.0,1.0
PETR4,1.01,2022-06-14,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-15,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-06-15,RandomForest_60,1.0,1.0
PETR4,1.01,2022-06-15,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-17,RandomForest_90,1.0,1.0
PETR4,1.015,2022-06-17,RandomForest_90,1.0,1.0
PETR4,1.01,2022-06-17,RandomForest_75,1.0,1.0
PETR4,1.02,2022-06-20,"RandomForest_60, RandomForest_90","0.0, 0.0",0.0
PETR4,1.015,2022-06-20,"RandomForest_60, RandomForest_90","0.0, 0.0",0.0
PETR4,1.01,2022-06-20,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-21,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-21,RandomForest_75,1.0,1.0
PETR4,1.015,2022-06-21,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-22,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-22,RandomForest_75,1.0,1.0
PETR4,1.015,2022-06-22,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-23,RandomForest_60,1.0,1.0
PETR4,1.02,2022-06-23,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-06-23,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-24,RandomForest_75,1.0,1.0
PETR4,1.02,2022-06-24,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-06-24,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-06-27,RandomForest_60,1.0,1.0
PETR4,1.02,2022-06-27,RandomForest_90,1.0,1.0
PETR4,1.015,2022-06-27,RandomForest_60,1.0,1.0
