ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
PETR4,1.01,2022-06-21,0.9,0.9066666666666666,0.9111111111111112,0.9,1.0,0.9647058823529412,0.9,0.9066666666666666,0.9111111111111112,RandomForest_75
PETR4,1.015,2022-06-21,0.8666666666666667,0.8783783783783784,0.8777777777777778,0.9454545454545454,1.0,1.0,0.8666666666666667,0.88,0.8777777777777778,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-06-22,0.9,0.9066666666666666,0.9111111111111112,0.9152542372881356,0.9577464788732394,0.9761904761904762,0.9,0.9066666666666666,0.9111111111111112,RandomForest_90
PETR4,1.02,2022-06-22,0.7727272727272727,0.7692307692307693,0.7444444444444445,0.9555555555555556,1.0,0.9710144927536232,0.7333333333333333,0.7333333333333333,0.7444444444444445,RandomForest_75
PETR4,1.015,2022-06-22,0.8620689655172413,0.88,0.8666666666666667,0.9285714285714286,1.0,1.0,0.8666666666666667,0.88,0.8666666666666667,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-06-23,0.9,0.9066666666666666,0.9111111111111112,0.9310344827586208,0.918918918918919,0.9111111111111112,0.9,0.9066666666666666,0.9111111111111112,RandomForest_60
PETR4,1.02,2022-06-23,0.7333333333333333,0.7377049180327869,0.7444444444444445,1.0,1.0,0.9571428571428572,0.7333333333333333,0.7333333333333333,0.7444444444444445,RandomForest_60 | RandomForest_75
PETR4,1.015,2022-06-23,0.8666666666666667,0.88,0.8764044943820225,0.9272727272727272,1.0,1.0,0.8666666666666667,0.88,0.8666666666666667,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-06-24,0.9,0.9066666666666666,0.9111111111111112,0.9310344827586208,1.0,0.9647058823529412,0.9,0.9066666666666666,0.9111111111111112,RandomForest_75
PETR4,1.02,2022-06-24,0.7333333333333333,0.7142857142857143,0.7560975609756098,1.0,1.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.015,2022-06-24,0.8666666666666667,0.8873239436619719,0.8651685393258427,0.9272727272727272,1.0,1.0,0.8666666666666667,0.88,0.8555555555555555,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-06-27,0.9,0.9066666666666666,0.9101123595505618,0.9473684210526316,0.918918918918919,0.9318181818181818,0.9,0.9066666666666666,0.9111111111111112,RandomForest_60
PETR4,1.02,2022-06-27,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8958333333333334,0.8852459016393442,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,RandomForest_90
PETR4,1.015,2022-06-27,0.864406779661017,0.8873239436619719,0.875,1.0,0.9041095890410958,0.9746835443037974,0.8666666666666667,0.88,0.8555555555555555,RandomForest_60
PETR4,1.02,2022-06-28,0.75,0.7681159420289855,0.7619047619047619,0.8627450980392157,1.0,0.9850746268656716,0.75,0.7466666666666667,0.7333333333333333,RandomForest_75
PETR4,1.015,2022-06-28,0.8833333333333333,0.8933333333333333,0.875,1.0,1.0,0.9746835443037974,0.8833333333333333,0.8933333333333333,0.8555555555555555,RandomForest_60 | RandomForest_75
PETR4,1.01,2022-06-28,0.9166666666666666,0.92,0.9111111111111112,0.9482758620689656,1.0,1.0,0.9166666666666666,0.92,0.9111111111111112,RandomForest_75 | RandomForest_90
PETR4,1.015,2022-06-29,0.8833333333333333,0.8933333333333333,0.8735632183908046,1.0,1.0,1.0,0.8833333333333333,0.8933333333333333,0.8444444444444444,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.01,2022-06-29,0.9166666666666666,0.92,0.9111111111111112,0.9482758620689656,1.0,1.0,0.9166666666666666,0.92,0.9111111111111112,RandomForest_75 | RandomForest_90
PETR4,1.02,2022-06-29,0.7333333333333333,0.7391304347826086,0.7209302325581395,0.8958333333333334,1.0,0.927536231884058,0.7333333333333333,0.7466666666666667,0.7222222222222222,RandomForest_75
PETR4,1.015,2022-06-30,0.864406779661017,0.8904109589041096,0.8636363636363636,1.0,1.0,0.987012987012987,0.8666666666666667,0.8933333333333333,0.8444444444444444,RandomForest_60 | RandomForest_75
PETR4,1.01,2022-06-30,0.9,0.92,0.9111111111111112,1.0,0.9324324324324323,1.0,0.9,0.92,0.9111111111111112,RandomForest_60 | RandomForest_90
PETR4,1.02,2022-06-30,0.896551724137931,0.7466666666666667,0.7222222222222222,0.9767441860465116,1.0,0.9848484848484848,0.7166666666666667,0.7466666666666667,0.7222222222222222,RandomForest_75
PETR4,1.015,2022-07-01,0.8666666666666667,0.8933333333333333,0.8444444444444444,0.9272727272727272,1.0,1.0,0.8666666666666667,0.8933333333333333,0.8444444444444444,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-01,0.9,0.918918918918919,0.9111111111111112,0.9473684210526316,0.971830985915493,0.9318181818181818,0.9,0.92,0.9111111111111112,RandomForest_75
PETR4,1.02,2022-07-01,0.7307692307692307,0.7534246575342466,0.7654320987654321,0.9090909090909092,1.0,0.927536231884058,0.7,0.7466666666666667,0.7222222222222222,RandomForest_75
PETR4,1.015,2022-07-04,0.8666666666666667,0.8857142857142857,0.8444444444444444,0.9272727272727272,1.0,1.0,0.8666666666666667,0.8933333333333333,0.8444444444444444,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-04,0.9,0.92,0.9074074074074074,1.0,1.0,1.0,0.9,0.92,0.9111111111111112,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.02,2022-07-04,0.7837837837837838,0.7142857142857143,0.7222222222222222,1.0,1.0,1.0,0.6833333333333333,0.7466666666666667,0.7222222222222222,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-05,0.9166666666666666,0.9333333333333332,0.9222222222222224,0.9649122807017544,1.0,0.9431818181818182,0.9166666666666666,0.9333333333333332,0.9222222222222224,RandomForest_75
PETR4,1.02,2022-07-05,0.7,0.7671232876712328,0.7333333333333333,1.0,0.9032258064516128,1.0,0.7,0.76,0.7333333333333333,RandomForest_60 | RandomForest_90
PETR4,1.015,2022-07-05,0.8833333333333333,0.9066666666666666,0.8555555555555555,0.9454545454545454,1.0,0.9625,0.8833333333333333,0.9066666666666666,0.8555555555555555,RandomForest_75
PETR4,1.02,2022-07-06,0.8214285714285714,0.7671232876712328,0.7333333333333333,0.9534883720930232,1.0,1.0,0.7,0.76,0.7333333333333333,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-06,0.9166666666666666,0.9333333333333332,0.9222222222222224,0.9642857142857144,0.958904109589041,0.976470588235294,0.9166666666666666,0.9333333333333332,0.9222222222222224,RandomForest_90
PETR4,1.015,2022-07-06,0.8833333333333333,0.9066666666666666,0.8850574712643678,1.0,1.0,0.9166666666666666,0.8833333333333333,0.9066666666666666,0.8555555555555555,RandomForest_60 | RandomForest_75
PETR4,1.02,2022-07-07,0.7,0.7432432432432432,0.7222222222222222,0.8913043478260869,0.9482758620689656,0.9846153846153848,0.7,0.7466666666666667,0.7222222222222222,RandomForest_90
PETR4,1.01,2022-07-07,0.9166666666666666,0.92,0.9195402298850576,0.9642857142857144,0.9452054794520548,1.0,0.9166666666666666,0.92,0.9222222222222224,RandomForest_90
PETR4,1.015,2022-07-07,0.8833333333333333,0.8933333333333333,0.8444444444444444,1.0,0.9178082191780822,0.9620253164556962,0.8833333333333333,0.8933333333333333,0.8444444444444444,RandomForest_60
PETR4,1.01,2022-07-08,0.9166666666666666,0.9178082191780822,0.9222222222222224,0.9322033898305084,0.92,0.9431818181818182,0.9166666666666666,0.92,0.9222222222222224,RandomForest_90
PETR4,1.015,2022-07-08,0.8833333333333333,0.88,0.8444444444444444,0.9454545454545454,0.9565217391304348,0.9620253164556962,0.8833333333333333,0.88,0.8444444444444444,RandomForest_90
PETR4,1.02,2022-07-08,0.7692307692307693,0.7833333333333333,0.7333333333333333,1.0,0.8888888888888888,0.9565217391304348,0.7166666666666667,0.7466666666666667,0.7333333333333333,RandomForest_60
PETR4,1.015,2022-07-11,0.8833333333333333,0.8918918918918919,0.8452380952380952,0.9454545454545454,1.0,0.986842105263158,0.8833333333333333,0.88,0.8333333333333334,RandomForest_75
PETR4,1.02,2022-07-11,0.7678571428571429,0.76,0.7228915662650602,0.8269230769230769,0.8507462686567164,0.9027777777777778,0.7333333333333333,0.76,0.7333333333333333,RandomForest_90
PETR4,1.01,2022-07-11,0.9166666666666666,0.92,0.9111111111111112,1.0,1.0,1.0,0.9166666666666666,0.92,0.9111111111111112,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.015,2022-07-12,0.9,0.8888888888888888,0.8735632183908046,0.9310344827586208,1.0,0.9743589743589745,0.9,0.8933333333333333,0.8444444444444444,RandomForest_75
PETR4,1.02,2022-07-12,0.7659574468085106,0.8115942028985508,0.7444444444444445,0.8431372549019608,1.0,1.0,0.75,0.7733333333333333,0.7444444444444445,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-12,0.9333333333333332,0.9333333333333332,0.9222222222222224,1.0,0.945945945945946,0.988095238095238,0.9333333333333332,0.9333333333333332,0.9222222222222224,RandomForest_60
PETR4,1.015,2022-07-13,0.9,0.8918918918918919,0.8522727272727273,0.9310344827586208,1.0,0.9156626506024096,0.9,0.88,0.8444444444444444,RandomForest_75
PETR4,1.01,2022-07-13,0.9333333333333332,0.9333333333333332,0.9222222222222224,1.0,0.945945945945946,0.9431818181818182,0.9333333333333332,0.9333333333333332,0.9222222222222224,RandomForest_60
PETR4,1.02,2022-07-13,0.7666666666666667,0.7733333333333333,0.7586206896551724,0.8846153846153846,0.9047619047619048,0.881578947368421,0.7666666666666667,0.7733333333333333,0.7555555555555555,RandomForest_75
PETR4,1.01,2022-07-14,0.9333333333333332,0.9333333333333332,0.9222222222222224,0.9824561403508772,1.0,0.9431818181818182,0.9333333333333332,0.9333333333333332,0.9222222222222224,RandomForest_75
PETR4,1.02,2022-07-14,0.7627118644067796,0.7702702702702703,0.7701149425287356,0.8846153846153846,0.9193548387096774,1.0,0.7666666666666667,0.7733333333333333,0.7555555555555555,RandomForest_90
PETR4,1.015,2022-07-14,0.9,0.88,0.8735632183908046,1.0,1.0,0.9382716049382716,0.9,0.88,0.8444444444444444,RandomForest_60 | RandomForest_75
PETR4,1.01,2022-07-15,0.9333333333333332,0.9333333333333332,0.9222222222222224,0.9824561403508772,0.958904109589041,0.9431818181818182,0.9333333333333332,0.9333333333333332,0.9222222222222224,RandomForest_60
PETR4,1.02,2022-07-15,0.7758620689655172,0.7671232876712328,0.7555555555555555,0.8679245283018868,0.8888888888888888,0.881578947368421,0.7666666666666667,0.76,0.7555555555555555,RandomForest_75
PETR4,1.015,2022-07-15,0.9,0.8666666666666667,0.8444444444444444,0.9,1.0,0.987012987012987,0.9,0.8666666666666667,0.8444444444444444,RandomForest_75
PETR4,1.01,2022-07-18,0.9333333333333332,0.9333333333333332,0.9222222222222224,1.0,0.9583333333333334,0.9431818181818182,0.9333333333333332,0.9333333333333332,0.9222222222222224,RandomForest_60
PETR4,1.02,2022-07-18,0.7666666666666667,0.76,0.7906976744186046,0.8846153846153846,1.0,0.9714285714285714,0.7666666666666667,0.76,0.7555555555555555,RandomForest_75
PETR4,1.015,2022-07-18,0.9,0.8904109589041096,0.8636363636363636,0.9,1.0,1.0,0.9,0.8666666666666667,0.8444444444444444,RandomForest_75 | RandomForest_90
PETR4,1.01,2022-07-19,0.9333333333333332,0.92,0.9176470588235294,0.9824561403508772,1.0,0.9431818181818182,0.9333333333333332,0.92,0.9222222222222224,RandomForest_75
PETR4,1.02,2022-07-19,0.7666666666666667,0.8095238095238095,0.7555555555555555,1.0,0.9824561403508772,0.9855072463768116,0.7796610169491526,0.7466666666666667,0.7555555555555555,RandomForest_60
PETR4,1.015,2022-07-19,0.9,0.8767123287671232,0.8735632183908046,0.9818181818181818,0.9846153846153848,0.987012987012987,0.9,0.8533333333333334,0.8444444444444444,RandomForest_90
