ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
ITUB4|1.01|2022-06-07|19.016106|18.949148|18.87475|19.112823|2.941758970095522|2.9503594710469763|0.008600500951454482|0|0|0|0.0
ITUB4|1.01|2022-06-08|18.651556|18.934268|18.547399|19.030986|2.9409734020377085|2.9460684928927723|0.005095090855063766|0|0|0|0.0
ITUB4|1.01|2022-06-09|18.331645|18.644116|18.242368|18.688755|2.9255306003319457|2.9279220060865976|0.0023914057546519096|0|0|1|1.0
ITUB4|1.01|2022-06-10|17.929896|18.257247|17.751342|18.257247|2.9045620970972044|2.9045620970972044|0.0|0|0|1|1.0
ITUB4|1.01|2022-06-13|17.714143|17.855499|17.43143|17.952216|2.882311528009574|2.887713561353462|0.005402033343888224|0|1|1|1.0
ITUB4|1.01|2022-06-14|17.595106|17.721582|17.45375|17.81086|2.8747832188442928|2.879808383614712|0.005025164770419366|0|1|1|1.0
ITUB4|1.01|2022-06-15|17.669504|17.79598|17.565347|17.967095|2.878972589095108|2.888542029407932|0.009569440312823918|0|0|1|1.0
ITUB4|1.01|2022-06-17|17.44631|17.364472|17.052001|17.543027|2.8544262797447075|2.864656549021278|0.010230269276570336|1|0|1|1.0
ITUB4|1.01|2022-06-20|18.205169|17.543027|17.543027|18.234928|2.864656549021278|2.903338875802067|0.0386823267807892|1|1|1|1.0
ITUB4|1.01|2022-06-21|18.011734|18.272127|17.922457|18.339085|2.9053767839748392|2.909034574634978|0.0036577906601387156|0|1|1|1.0
ITUB4|1.01|2022-06-22|17.877818|18.056373|17.721582|18.093572|2.893498697254897|2.8955567370737563|0.002058039818859214|0|1|1|1.0
ITUB4|1.01|2022-06-23|17.468629|17.900137|17.379352|17.952216|2.884808366448705|2.887713561353462|0.002905194904756936|0|1|1|1.0
ITUB4|1.01|2022-06-24|17.43887|17.624865|17.334713|17.654624|2.8693106890945295|2.870997732070584|0.001687042976054709|0|1|1|1.0
ITUB4|1.01|2022-06-27|17.543027|17.505828|17.43143|17.609985|2.862533854059191|2.8684660707189957|0.005932216659804812|0|0|0|0.0
ITUB4|1.01|2022-06-28|17.349593|17.654624|17.126399|17.736462|2.870997732070584|2.8756225206892276|0.004624788618643461|0|0|1|0.0
ITUB4|1.01|2022-06-29|17.171038|17.46119|17.111519|17.617425|2.8599807038736067|2.868888469079285|0.008907765205678153|0|0|1|1.0
ITUB4|1.01|2022-06-30|16.866006|16.977603|16.761849|17.022242|2.831895004840594|2.834520841849492|0.0026258370088978467|0|0|1|1.0
ITUB4|1.01|2022-07-01|17.013176|16.61856|16.558995|17.102523|2.810520143074337|2.8392259964847386|0.02870585341040144|1|0|0|0.0
ITUB4|1.01|2022-07-04|16.849373|16.879155|16.760026|16.975948|2.8260794286730992|2.8317975187189623|0.0057180900458631|0|0|0|0.0
ITUB4|1.01|2022-07-05|16.968502|16.75258|16.536658|16.968502|2.818552276260442|2.831358801926118|0.012806525665676194|1|0|1|1.0
ITUB4|1.01|2022-07-06|16.812145|16.834482|16.640896|17.028067|2.823429282908886|2.83486298265396|0.011433699745074133|1|0|1|0.0
ITUB4|1.01|2022-07-07|17.050404|16.968502|16.916383|17.162088|2.831358801926118|2.842702764979288|0.011343963053169759|1|0|1|1.0
ITUB4|1.01|2022-07-08|17.057849|17.296108|16.961057|17.318445|2.850481505095674|2.851772118503308|0.0012906134076340336|0|0|1|0.0
ITUB4|1.01|2022-07-11|16.782363|16.819591|16.626005|16.908938|2.8225443379590254|2.8278423578631897|0.005298019904164342|0|0|0|0.0
ITUB4|1.01|2022-07-12|16.745135|16.774917|16.462202|16.908938|2.8198847350064584|2.8278423578631897|0.007957622856731295|0|0|0|0.0
ITUB4|1.01|2022-07-13|16.678124|16.663233|16.596223|16.931274|2.813204675535001|2.829162444347495|0.01595776881249389|1|0|0|0.0
ITUB4|1.01|2022-07-14|16.491984|16.544104|16.112259|16.603668|2.8060297845731847|2.809623634809002|0.003593850235817264|0|0|1|1.0
