data,PETR4_esmble_jan_tot,PETR4_rend_decisao_esmble_jan_tot,PETR4_esmble_jan_par,PETR4_rend_decisao_esmble_jan_par,PETR4_in_precision,PETR4_rend_decisao_in_precision,VALE3_esmble_jan_tot,VALE3_rend_decisao_esmble_jan_tot,VALE3_esmble_jan_par,VALE3_rend_decisao_esmble_jan_par,VALE3_in_precision,VALE3_rend_decisao_in_precision,ITUB4_esmble_jan_tot,ITUB4_rend_decisao_esmble_jan_tot,ITUB4_esmble_jan_par,ITUB4_rend_decisao_esmble_jan_par,ITUB4_in_precision,ITUB4_rend_decisao_in_precision
2021-01-06,0,0.0245358091664491,0,0.0245358091664491,0.0,0.0245358091664491,1,0.0534660002338335,1,0.0534660002338335,1.0,0.0534660002338335,0,0.0432801645909275,1,0.0432801645909275,1.0,0.0432801645909275
2021-01-07,1,0.0,1,0.0,1.0,0.0,1,0.0612773046611172,1,0.0612773046611172,1.0,0.0612773046611172,1,0.0,1,0.0445497522416077,1.0,0.0445497522416077
2021-01-08,1,0.0095359996305705,1,0.0095359996305705,1.0,0.0095359996305705,1,0.0033006535479065,1,0.0033006535479065,1.0,0.0033006535479065,0,0.0154873885455611,0,0.0154873885455611,0.0,0.0154873885455611
2021-01-11,0,-0.0127145236473743,0,-0.0127145236473743,0.0,-0.0127145236473743,1,-0.0099990141986389,1,-0.0099990141986389,1.0,-0.0099990141986389,0,-0.0069845095577163,1,-0.0069845095577163,1.0,-0.0069845095577163
2021-01-12,0,0.0031786309118435,1,0.0031786309118435,0.0,0.0031786309118435,1,-0.0037860292625873,1,-0.0037860292625873,1.0,-0.0037860292625873,1,-0.0145763567083573,1,-0.0145763567083573,1.0,-0.0145763567083573
2021-01-13,0,-0.0190717854710613,1,-0.0190717854710613,1.0,-0.0190717854710613,0,-0.0397048807097855,1,-0.0397048807097855,1.0,-0.0397048807097855,0,-0.0121469554410256,1,-0.0121469554410256,1.0,-0.0121469554410256
2021-01-14,0,0.0,1,0.0171408511513986,1.0,0.0171408511513986,0,0.0,0,0.0168689652528978,0.0,0.0168689652528978,1,0.0,1,0.028732082849758,1.0,0.028732082849758
2021-01-15,0,0.0,0,-0.0030853070925057,0.0,-0.0030853070925057,0,0.0,0,-0.0002057162989737,0.0,-0.0002057162989737,1,0.0106084357419229,1,0.0106084357419229,1.0,0.0106084357419229
2021-01-18,0,0.0,0,-0.0109701216795221,0.0,-0.0109701216795221,0,0.0,0,-0.016251800017616,0.0,-0.016251800017616,1,-0.003744132258822,1,-0.003744132258822,1.0,-0.003744132258822
2021-01-19,0,0.0,1,-0.0106273738286135,1.0,-0.0106273738286135,0,0.0,1,-0.027257760888778,1.0,-0.027257760888778,1,-0.0137285546731214,1,-0.0137285546731214,1.0,-0.0137285546731214
2021-01-20,0,0.0,1,0.0058721538332151,1.0,0.0058721538332151,0,0.0,0,0.0014736816620215,0.0,0.0014736816620215,0,-0.0296411821394658,0,-0.0296411821394658,0.0,-0.0296411821394658
2021-01-21,0,0.0,1,-0.0189983360817489,1.0,-0.0189983360817489,0,0.0,1,0.0115789464532122,0.0,0.0115789464532122,0,0.0,0,0.0,0.0,0.0
2021-01-22,0,0.0,1,-0.0590673554665593,1.0,-0.0590673554665593,0,0.0,1,-0.0125263108473456,1.0,-0.0125263108473456,0,0.0,0,0.0,0.0,0.0
2021-01-26,0,0.0,1,-0.03385151306903,1.0,-0.03385151306903,0,0.0,1,-0.0088421066922916,1.0,-0.0088421066922916,0,0.0,1,0.0,0.0,0.0
2021-01-27,0,0.0,1,0.0507272481875868,1.0,0.0507272481875868,0,0.0,0,0.0087399047361964,0.0,0.0087399047361964,0,0.0,1,0.0313056274645567,1.0,0.0
2021-01-28,1,0.0,1,0.0413615483601591,1.0,0.0413615483601591,0,0.0,0,0.0106206279366859,0.0,0.0106206279366859,1,0.0,1,0.0473665207343632,1.0,0.0473665207343632
2021-01-29,0,0.0058138639704669,1,0.0058138639704669,1.0,0.0058138639704669,0,0.0,0,0.0050890446625895,0.0,0.0050890446625895,1,0.0112936210932749,1,0.0112936210932749,1.0,0.0112936210932749
2021-02-01,1,0.0058138639704669,1,0.0058138639704669,1.0,0.0058138639704669,0,0.0,0,0.0097355858594934,0.0,0.0097355858594934,1,0.0073775341019992,1,0.0073775341019992,1.0,0.0073775341019992
2021-02-02,0,0.058866212819413,1,0.058866212819413,1.0,0.058866212819413,0,0.0,0,0.0,0.0,0.0,0,0.0032685973477889,0,0.0032685973477889,0.0,0.0032685973477889
2021-02-03,1,0.0,1,0.0055210805526789,1.0,0.0055210805526789,0,0.0,0,0.0,1.0,0.0,0,-0.0104279157590093,0,-0.0104279157590093,0.0,-0.0104279157590093
2021-02-04,0,0.0055498061802103,1,0.0003451110505626,0.0,0.0003451110505626,1,0.0,1,0.0,1.0,0.0100054451813651,0,0.0,0,0.0,0.0,0.0
2021-02-05,1,0.0437045195378186,1,0.0383023367754698,1.0,0.0383023367754698,0,0.0284922276738838,1,0.0284922276738838,1.0,0.008917894538855,0,0.0,0,0.0,0.0,0.0
2021-02-08,1,0.0277095698779758,1,0.0277095698779758,1.0,0.0277095698779758,1,0.0,1,0.0208669467770126,1.0,0.0321914195543423,0,0.0,0,0.0,0.0,0.0
2021-02-09,1,0.0114081442076707,1,0.0114081442076707,1.0,0.0114081442076707,0,0.0065539094336913,1,0.0065539094336913,0.0,0.0065539094336913,0,0.0,0,0.0,0.0,0.0
2021-02-10,1,-0.0003565532118502,1,-0.0003565532118502,1.0,-0.0003565532118502,0,0.0113107770173886,0,0.0113107770173886,0.0,0.0113107770173886,0,0.0,0,0.0,0.0,0.0
2021-02-11,1,0.0160427365111329,1,0.0160427365111329,1.0,0.0160427365111329,0,0.0091966061842518,0,0.0091966061842518,0.0,0.0091966061842518,0,0.0,1,0.0,1.0,0.0
2021-02-12,1,0.0156863031894008,1,0.0156863031894008,1.0,0.0156863031894008,0,-0.0048625828416983,0,-0.0048625828416983,0.0,-0.0048625828416983,0,0.0,0,0.0207046798841498,0.0,0.0207046798841498
2021-02-17,1,0.0378682023835213,1,0.0378682023835213,1.0,0.0378682023835213,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
2021-02-18,0,0.0177747580149352,1,0.0177747580149352,1.0,0.0177747580149352,0,0.0,1,0.0106820121692917,1.0,0.0,0,0.0,1,0.0,0.0,0.0
2021-02-19,1,-0.0622119851376306,1,-0.0622119851376306,1.0,-0.0622119851376306,0,0.0,0,0.0153040302337974,0.0,0.016870684064061,0,0.0,1,0.011115119652976,1.0,0.0
2021-02-22,1,-0.2363397242053253,1,-0.2363397242053253,1.0,-0.2363397242053253,0,0.0,0,0.0119145514074843,0.0,0.0134759751393461,0,0.0,0,-0.0458945599463445,1.0,0.0022598797464324
2021-02-23,0,-0.201448401352163,1,-0.201448401352163,1.0,-0.201448401352163,1,0.0,1,-0.000102702086177,1.0,0.0014401785535128,0,0.0,1,-0.0164933743439743,1.0,0.0331449659320609
2021-02-24,1,0.0,1,0.0183298886826239,1.0,0.0183298886826239,1,0.0111191205100995,1,0.0111191205100995,1.0,0.0102870036736987,0,0.0,1,-0.0132663615711291,1.0,0.0032811296728099
2021-02-25,1,0.0100001076133773,1,0.0285132971553687,1.0,0.0285132971553687,1,0.0187377744303253,1,0.0187377744303253,1.0,0.002532935198428,0,0.0,0,0.0059479986977698,1.0,-0.0134888380261598
2021-02-26,0,-0.0631999913909298,1,0.0094827035134229,1.0,0.0094827035134229,0,0.0058684206252887,1,0.0058684206252887,1.0,-0.0101317086069762,0,0.0,0,-0.0133987714104423,0.0,-0.032461791583004
2021-03-01,0,-0.0783999774011907,1,-0.0068965907115919,1.0,-0.0068965907115919,1,0.0226500548471846,1,0.0226500548471846,1.0,0.0063829838253443,0,0.0,0,-0.0285303890881722,0.0,-0.0473010375053831
2021-03-02,0,-0.1067999548023815,0,-0.0375000126834185,0.0,-0.0375000126834185,1,0.0479999911374565,1,0.0479999911374565,1.0,0.0352583646205842,0,0.0,0,-0.0154378419185428,0.0,0.0
2021-03-03,0,0.0,1,-0.056465564663619,0.0,-0.056465564663619,0,0.0196078358089255,1,0.0196078358089255,1.0,0.0196078358089255,0,0.0,0,0.0,1.0,0.0
2021-03-04,1,0.0,1,0.0516432117604244,1.0,0.0,1,-0.00500000467181,1,-0.00500000467181,1.0,-0.00500000467181,0,0.0,1,0.0,1.0,0.0415065319630837
2021-03-05,0,0.0347592913714934,1,0.0347592913714934,1.0,0.0347592913714934,1,0.0307067638776895,1,0.0307067638776895,1.0,0.0307067638776895,0,0.0,1,0.0407781217224145,0.0,0.0407781217224145
2021-03-08,1,0.0,1,0.0154968596415503,1.0,0.0154968596415503,1,0.0275201585641826,1,0.0275201585641826,1.0,0.0275201585641826,0,0.0,0,0.0401486977823955,0.0,0.0
2021-03-09,1,0.0276217416419447,1,0.0004558485957288,1.0,0.0004558485957288,0,0.0185641092474465,1,0.0185641092474465,0.0,0.0185641092474465,1,0.0,1,0.0,1.0,0.0
2021-03-10,1,0.0182316446600418,1,0.0182316446600418,1.0,0.0182316446600418,1,0.0034871815177648,1,0.0034871815177648,1.0,0.0034871815177648,1,0.0140169746241286,1,0.0140169746241286,1.0,0.0140169746241286
2021-03-11,1,0.070647335661523,1,0.070647335661523,1.0,0.070647335661523,1,0.0266666739415985,1,0.0266666739415985,1.0,0.0266666739415985,0,0.0284028508776768,1,0.0284028508776768,1.0,0.0284028508776768
2021-03-12,0,0.0099352068150872,1,0.0099352068150872,1.0,0.0099352068150872,0,0.0044444461503267,1,0.0044444461503267,0.0,0.0044444461503267,0,0.0,0,0.0132596682377485,0.0,0.0132596682377485
2021-03-15,0,0.0224622572398245,1,0.0224622572398245,1.0,0.0224622572398245,0,-0.0166666615490197,0,-0.0166666615490197,0.0,-0.0166666615490197,0,0.0,1,0.0162062883836448,1.0,0.0162062883836448
2021-03-16,1,0.0,1,0.0021159485136272,1.0,0.0021159485136272,0,-0.0117171650487225,1,-0.0117171650487225,1.0,-0.0117171650487225,0,0.0,1,0.0143646813971559,1.0,0.0143646813971559
2021-03-17,1,0.0427831765158454,1,0.0211596274518844,1.0,0.0211596274518844,0,-0.0088888769477125,0,-0.0088888769477125,0.0,-0.0088888769477125,1,0.0,1,0.0331491705943713,1.0,0.0331491705943713
2021-03-18,1,0.0008376313340588,1,0.0008376313340588,1.0,0.0008376313340588,0,0.0,0,0.0,0.0,0.0,0,0.0282849904767276,1,0.0282849904767276,1.0,0.0282849904767276
2021-03-19,1,0.0067002057181998,1,0.0067002057181998,1.0,0.0067002057181998,0,0.0,0,0.0,0.0,0.0,1,0.0,1,0.0120396528883444,1.0,0.0120396528883444
2021-03-22,1,-0.0041875933674469,1,-0.0041875933674469,1.0,-0.0041875933674469,0,0.0,0,0.0,0.0,0.0,0,0.0139335270775193,0,0.0049574937457572,0.0,0.0049574937457572
2021-03-23,0,-0.0104689834186174,1,-0.0104689834186174,1.0,-0.0104689834186174,0,0.0,0,0.0,0.0,0.0,0,0.0189352999389413,0,0.0099149874915142,0.0,0.0099149874915142
2021-03-24,1,0.0,1,0.0150928166823936,1.0,0.0150928166823936,0,0.0,1,0.0,1.0,0.0,0,-0.0067881712026033,0,-0.0155807618830614,0.0,-0.0155807618830614
2021-03-25,1,0.0264316436622853,1,0.004743469101541,1.0,0.004743469101541,0,0.0,1,0.0026870154942513,1.0,0.0026870154942513,1,-0.0110753966020434,1,0.0,1.0,0.0
2021-03-26,1,0.0170357282808213,1,0.0297542111520974,1.0,0.0297542111520974,0,0.0,1,0.0289122899854304,1.0,0.0289122899854304,0,0.0214389238103877,1,0.0214389238103877,0.0,0.0214389238103877
2021-03-29,1,0.0149062622457187,1,0.0209940319010386,1.0,0.0209940319010386,0,0.0,1,0.025520825252049,1.0,0.025520825252049,0,0.0,1,0.0032005485576001,1.0,0.0
2021-03-30,1,0.0217206108479594,1,0.0148053732710634,1.0,0.0148053732710634,0,0.0,0,0.0060259434443722,0.0,0.0060259434443722,0,0.0,0,0.0152915622105445,0.0,0.0255028571265142
2021-03-31,1,0.0180673479448826,1,0.0249577145816055,1.0,0.0249577145816055,0,0.0,1,0.0066387633556234,1.0,0.0066387633556234,0,0.0,1,0.0128022532201626,0.0,0.0
2021-04-01,1,0.0247899341927802,1,0.0041169093717836,1.0,0.0041169093717836,0,0.0,1,0.0097028008164369,1.0,0.0097028008164369,0,0.0,0,0.0008921021792353,0.0,0.0
