ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
PETR4|1.02|2020-12-18|8.355839|8.355839|8.33205|8.421258|2.1229605759165473|2.130759223270016|0.0077986473534688|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2020-12-21|8.034689|8.085241|7.886009|8.174449|2.090040300871763|2.101013313900173|0.0109730130284098|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2020-12-22|8.112003|8.088214|8.04361|8.168502|2.090407940319672|2.1002855383273906|0.0098775980077188|0|0|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2020-12-23|8.311235|8.156607|8.132818|8.400443|2.098828273680026|2.128284442553902|0.0294561688738754|1|0|1|0.0|0.0|0.0|0.0|0.0|8.156607|0.02989429305592386|0.0|8.31973914|8.156607|0.02989429305592386|0.0|8.31973914
PETR4|1.02|2020-12-28|8.379628|8.433153|8.379628|8.48073|2.132170723437527|2.137796531004379|0.0056258075668518|0|0|0|0.0|0.0|0.0|0.0|0.0|8.433153|0.005641662139889866|1.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2020-12-29|8.40639|8.4391|8.323129|8.453968|2.1328756678508523|2.134635916946992|0.0017602490961396|0|1|1|1.0|0.0|0.0|0.0|0.0|8.433153|0.0024682345974274293|2.0|0.0|0.0|0.0|0.0|0.0
PETR4|1.02|2020-12-30|8.427206|8.430179|8.385575|8.47181|2.131818005477538|2.136744181229868|0.0049261757523297|0|0|1|1.0|8.430179|0.004938329304751282|1.0|0.0|8.433153|0.004583932012142887|3.0|0.0|8.430179|0.004938329304751282|1.0|0.0
PETR4|1.02|2021-01-04|8.596701|8.519387|8.483704|8.676989|2.1423443898960097|2.1606745790912916|0.0183301891952818|0|1|1|1.0|8.430179|0.02927695841333855|0.0|8.598782580000002|8.433153|0.028913977962927974|0.0|8.60181606|8.430179|0.02927695841333855|0.0|8.598782580000002
PETR4|1.02|2021-01-05|8.932719|8.593728|8.397469|8.974349|2.151032634863568|2.194370396924624|0.0433377620610557|1|1|1|1.0|8.593728|0.044290557020189567|0.0|8.765602560000001|8.593728|0.044290557020189567|0.0|8.765602560000001|8.593728|0.044290557020189567|0.0|8.765602560000001
PETR4|1.02|2021-01-06|8.94164|8.968402|8.935693|9.188449|2.193707510813373|2.217947151721657|0.0242396409082843|1|0|0|0.0|8.968402|0.024535809166449162|0.0|9.14777004|8.968402|0.024535809166449162|0.0|9.14777004|8.968402|0.024535809166449162|0.0|9.14777004
