ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2021-05-21,1,0.01,0,1,1,0
PETR4,1.01,60,2021-05-24,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-25,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-27,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-28,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-31,1,0.01,1,0,1,0
PETR4,1.01,60,2021-06-01,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-02,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-04,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-07,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-09,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-10,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-14,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-15,0,-0.004470447420739,1,1,1,1
PETR4,1.01,60,2021-06-16,0,0.0031023931064211,1,1,1,1
PETR4,1.01,60,2021-06-17,1,0.01,1,0,1,0
PETR4,1.01,60,2021-06-18,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-21,1,0.01,1,0,1,0
PETR4,1.01,60,2021-06-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-23,1,0.01,0,1,1,0
PETR4,1.01,60,2021-06-24,0,-0.0087571985645288,1,1,1,1
PETR4,1.01,60,2021-06-25,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-28,1,0.01,1,1,1,1
PETR4,1.01,60,2021-06-29,1,0.01,0,1,1,0
PETR4,1.01,60,2021-06-30,0,-0.0696032272031508,1,1,1,1
PETR4,1.01,60,2021-07-01,0,-0.0426620976567017,1,1,1,1
PETR4,1.01,60,2021-07-02,0,-0.0523957481162358,1,1,1,1
PETR4,1.01,60,2021-07-05,0,-0.0337978435887517,1,0,1,0
PETR4,1.01,60,2021-07-06,0,-0.0088810367640819,0,0,1,0
PETR4,1.01,60,2021-07-07,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-12,1,0.01,1,0,1,0
PETR4,1.01,60,2021-07-13,0,-0.0661921376838154,1,0,1,0
PETR4,1.01,60,2021-07-14,0,-0.0327392145282757,1,1,1,1
PETR4,1.01,60,2021-07-15,0,-0.0099154622294026,1,0,1,0
PETR4,1.01,60,2021-07-16,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-19,1,0.01,0,0,1,0
PETR4,1.01,60,2021-07-20,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-21,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-23,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-07-27,1,0.01,1,0,1,0
PETR4,1.01,60,2021-07-28,0,-0.0341727048192065,1,1,1,1
PETR4,1.01,60,2021-07-29,0,-0.0478260767039558,0,0,1,0
PETR4,1.01,60,2021-07-30,1,0.01,1,0,1,0
PETR4,1.01,60,2021-08-02,1,0.01,0,1,1,0
PETR4,1.01,60,2021-08-03,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-04,0,-0.0163477906147179,1,1,1,1
PETR4,1.01,60,2021-08-05,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-06,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-09,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-10,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-12,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-13,0,-0.0333330064309864,1,0,0,0
PETR4,1.01,60,2021-08-16,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-17,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-18,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-19,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-20,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-23,1,0.01,1,0,1,0
PETR4,1.01,60,2021-08-24,1,0.01,1,0,1,0
PETR4,1.01,60,2021-08-25,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-08-27,1,0.01,1,0,1,0
PETR4,1.01,60,2021-08-30,0,-0.0663120217862099,1,1,1,1
PETR4,1.01,60,2021-08-31,0,-0.031478762231286,1,1,1,1
PETR4,1.01,60,2021-09-01,1,0.01,1,1,1,1
PETR4,1.01,60,2021-09-02,0,-0.0431519211162307,1,1,1,1
PETR4,1.01,60,2021-09-03,1,0.01,1,0,1,0
PETR4,1.01,60,2021-09-06,0,-0.0022822277935766,1,1,1,1
PETR4,1.01,60,2021-09-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-09-09,1,0.01,1,0,1,0
PETR4,1.01,60,2021-09-10,1,0.01,1,0,1,0
PETR4,1.01,60,2021-09-13,1,0.01,1,1,1,1
PETR4,1.01,60,2021-09-14,1,0.01,1,1,1,1
PETR4,1.01,60,2021-09-15,0,-0.0333588877583707,1,1,1,1
