ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
VALE3,1.02,2020-10-14,0.75,0.7123287671232876,0.7341772151898734,0.8490566037735849,1.0,1.0,0.75,0.7066666666666667,0.7222222222222222,RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-15,0.7959183673469388,0.72,0.7228915662650602,0.9166666666666666,0.9642857142857144,0.8918918918918919,0.75,0.72,0.7333333333333333,RandomForest_75
VALE3,1.02,2020-10-16,0.75,0.746268656716418,0.7444444444444445,0.8461538461538461,1.0,1.0,0.75,0.7333333333333333,0.7444444444444445,RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-19,0.8301886792452831,0.7796610169491526,0.7560975609756098,0.8679245283018868,1.0,1.0,0.7666666666666667,0.7333333333333333,0.7555555555555555,RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-20,0.7872340425531915,0.7333333333333333,0.7555555555555555,0.9782608695652174,1.0,1.0,0.75,0.7333333333333333,0.7555555555555555,RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-21,0.7924528301886793,0.7464788732394366,0.7555555555555555,0.875,1.0,1.0,0.8461538461538461,0.7333333333333333,0.7555555555555555,RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-22,0.717391304347826,0.7166666666666667,0.7666666666666667,0.8431372549019608,1.0,0.9857142857142858,0.75,0.7466666666666667,0.7666666666666667,RandomForest_75
VALE3,1.02,2020-10-23,0.8076923076923077,0.7466666666666667,0.7640449438202247,0.88,0.918032786885246,1.0,0.8333333333333334,0.7466666666666667,0.7666666666666667,RandomForest_90
VALE3,1.02,2020-10-26,0.7735849056603774,0.7466666666666667,0.7666666666666667,1.0,1.0,1.0,0.8333333333333334,0.7466666666666667,0.7666666666666667,RandomForest_60 | RandomForest_75 | RandomForest_90
VALE3,1.02,2020-10-27,0.75,0.7142857142857143,0.7666666666666667,0.88,1.0,1.0,0.8653846153846154,0.7466666666666667,0.7666666666666667,RandomForest_75 | RandomForest_90
