ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision|dinheiro_esmble_jan_tot|investido_esmble_jan_tot|qtde_ativos_esmble_jan_tot|capital_teorico_esmble_jan_tot|dinheiro_esmble_jan_par|investido_esmble_jan_par|qtde_ativos_esmble_jan_par|capital_teorico_esmble_jan_par|dinheiro_in_precision|investido_in_precision|qtde_ativos_in_precision|capital_teorico_in_precision
VALE3|1.01|2020-08-11|36.427046|37.943832|36.35453|37.961961|3.636106960987996|3.636584632049142|0.0004776710611458|0|1|1|1.0|37.943832|0.0004777851641342|1.0|0.0|37.841102|0.0031938551895238|4.0|36.427046|37.841102|0.0031938551895238|4.0|36.427046|0.0|1013.2744955256159|26.704590499072836|1013.2744955256159|0.0|1013.2744955256161|26.777087398924486|1013.2744955256161|0.0|1003.2420747778376|26.511967721707407|1003.2420747778376
VALE3|1.01|2020-08-12|37.164289|36.789624|36.608335|37.641684|3.605215848895933|3.6281120533550735|0.0228962044591405|1|0|1|1.0|37.943832|-0.007963033359414|2.0|0.0|36.789624|0.0231603345551994|0.0|37.15752024|36.789624|0.0231603345551994|0.0|37.15752024|0.0|1013.2744955256159|26.704590499072836|1013.2744955256159|0.0|975.4101944266425|26.5131873711632|975.4101944266425|0.0|965.7526677491509|26.250680565508112|965.7526677491509
VALE3|1.01|2020-08-13|36.469347|37.103859|36.324315|37.563125|3.613720980376589|3.626022851092109|0.01230187071552|1|1|1|1.0|37.943832|-0.0100334357373288|3.0|0.0|37.103859|0.0123778499697295|0.0|37.47489759|37.103859|0.0123778499697295|0.0|37.47489759|0.0|1013.2744955256159|26.704590499072836|1013.2744955256159|0.0|985.1642963709088|26.55153191399603|985.1642963709088|0.0|975.4101944266422|26.288645459402005|975.4101944266422
VALE3|1.01|2020-08-14|37.073644|36.469347|36.439132|37.121988|3.596472099532788|3.6142094625184096|0.0177373629856214|1|1|1|1.0|37.943832|-0.0216594886884381|4.0|37.073644|36.469347|0.0178956042179752|0.0|36.83404047|36.469347|0.0178956042179752|0.0|36.83404047|0.0|1013.2744955256159|26.704590499072836|1013.2744955256159|0.0|995.0159393346179|27.283623678115703|995.0159393346179|0.0|985.1642963709086|27.01348879021356|985.1642963709086
VALE3|1.01|2020-08-17|37.605426|37.333492|36.952784|37.829016|3.6198908326179535|3.633076427204343|0.0131855945863899|1|1|1|1.0|37.333492|0.0132729078758558|0.0|37.70682692|37.333492|0.0132729078758558|0.0|37.70682692|37.333492|0.0132729078758558|0.0|37.70682692|0.0|990.0364813284087|26.518721616729792|990.0364813284087|0.0|1004.966098727964|26.91862038321955|1004.966098727964|0.0|995.0159393346175|26.65209938932628|995.0159393346175
VALE3|1.01|2020-08-18|38.106992|38.252024|37.98009|38.493743|3.6441964739052737|3.650495708605497|0.0062992347002235|0|1|1|1.0|38.252024|0.0063191166041306|1.0|0.0|38.252024|0.0063191166041306|1.0|0.0|38.252024|0.0063191166041306|1.0|0.0|0.0|999.9368461416927|26.14075652942424|999.9368461416927|0.0|1015.0157597152436|26.534955633073|1015.0157597152436|0.0|1004.9660987279638|26.272233300072273|1004.9660987279638
VALE3|1.01|2020-08-19|37.702113|38.318497|37.665855|38.602516|3.645932729995239|3.653317455693723|0.0073847256984844|0|0|1|1.0|38.252024|0.0091627046976652|2.0|0.0|38.252024|0.0091627046976652|2.0|0.0|38.252024|0.0091627046976652|2.0|0.0|0.0|999.9368461416927|26.14075652942424|999.9368461416927|0.0|1015.0157597152436|26.534955633073|1015.0157597152436|0.0|1004.9660987279638|26.272233300072273|1004.9660987279638
VALE3|1.01|2020-08-20|38.04052|37.357664|37.267019|38.372883|3.6205380846391666|3.647351038261876|0.0268129536227097|1|1|1|1.0|38.252024|0.0031595452308615|3.0|0.0|38.252024|0.0031595452308615|3.0|0.0|38.252024|0.0031595452308615|3.0|0.0|0.0|999.9368461416927|26.14075652942424|999.9368461416927|0.0|1015.0157597152436|26.534955633073|1015.0157597152436|0.0|1004.9660987279638|26.272233300072273|1004.9660987279638
VALE3|1.01|2020-08-21|37.587297|37.714199|37.170332|37.943832|3.6300366548459353|3.636106960987996|0.0060703061420608|0|1|1|1.0|38.252024|-0.0080568808594284|4.0|37.587297|38.252024|-0.0080568808594284|4.0|37.587297|38.252024|-0.0080568808594284|4.0|37.587297|0.0|999.9368461416927|26.14075652942424|999.9368461416927|0.0|1015.0157597152436|26.534955633073|1015.0157597152436|0.0|1004.9660987279638|26.272233300072273|1004.9660987279638
VALE3|1.01|2020-08-24|38.046563|38.034477|37.611469|38.149293|3.6384930378617586|3.641507225448653|0.0030141875868938|0|1|1|1.0|38.034477|0.0030187348178863|1.0|0.0|38.034477|0.0030187348178863|1.0|0.0|38.034477|0.0030187348178863|1.0|0.0|0.0|982.5603794761581|25.833413707152015|982.5603794761581|0.0|997.3772582621378|26.222978122247817|997.3772582621378|0.0|987.5022359031067|25.963344675492884|987.5022359031067
